,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
185,Haines Junction,92,CA,1552920994,93,60.75,-137.51,-0.17,1.38
186,Kautokeino,88,NO,1552920994,81,69.01,23.04,-4.12,2.88
187,Tuatapere,88,NZ,1552920605,95,-46.13,167.69,14.44,0.45
188,Roald,40,NO,1552920903,56,62.58,6.12,6.0,4.1
189,Nemuro,44,JP,1552920995,88,43.32,145.57,1.49,9.55
190,Sirjan,0,IR,1552920995,70,29.44,55.67,5.89,4.5
191,Avera,1,US,1552920976,41,33.19,-82.53,15.56,3.1
192,San Patricio,24,PY,1552920996,91,-26.98,-56.83,24.39,1.58
193,Siniscola,0,IT,1552918800,38,40.57,9.69,16.0,11.3
194,Baymak,92,RU,1552920996,88,52.6,58.31,-3.97,4.73
195,Port Blair,0,IN,1552920718,98,11.67,92.75,28.99,2.83
196,Taltal,0,CL,1552920996,76,-25.41,-70.49,21.24,0.78
197,Mokhsogollokh,32,RU,1552920997,59,61.4,128.95,-21.77,1.25
198,Bikaner,0,IN,1552920997,36,28.02,73.32,22.34,2.83
199,Rio Gallegos,90,AR,1552917600,81,-51.62,-69.22,8.0,10.3
200,Tonantins,0,BR,1552920997,85,-2.86,-67.77,29.29,1.58
201,Faanui,44,PF,1552920997,100,-16.48,-151.75,27.89,1.73
202,Njombe,0,TZ,1552920998,61,-9.34,34.77,24.89,2.58
203,Marystown,64,CA,1552920148,100,47.17,-55.16,0.0,9.6
204,Skala,20,GR,1552920944,55,36.85,22.66,17.0,2.1
205,Fairbanks,90,US,1552920656,79,64.84,-147.72,1.0,2.05
206,Igarka,56,RU,1552920998,60,67.47,86.57,-19.12,3.08
207,Manokwari,36,ID,1552920898,98,-0.87,134.08,27.49,3.4
208,La Peca,64,PE,1552920998,87,-5.61,-78.44,21.99,0.38
209,Male,0,UA,1552920999,72,50.74,33.7,10.39,7.9
210,Kamakwie,0,SL,1552920999,18,9.5,-12.24,38.74,4.28
211,Saint-Francois,75,FR,1552920343,53,46.42,3.91,11.0,5.7
212,Kargil,68,PK,1552920999,80,34.56,76.13,-13.22,0.48
213,Yulara,0,AU,1552917600,17,-25.24,130.99,29.0,3.6
214,Moerai,48,PF,1552921000,100,-22.43,-151.33,25.54,12.6
215,Healesville,36,AU,1552920994,88,-37.65,145.52,20.0,1.13
216,Dzaoudzi,0,YT,1552919400,79,-12.79,45.27,29.0,1.0
217,Olinda,90,EC,1552920920,94,-2.03,-79.75,25.0,1.0
218,Victoria,75,BN,1552917600,83,5.28,115.24,28.0,2.6
219,Kieta,76,PG,1552921000,100,-6.22,155.63,26.39,1.38
220,Miri,0,NG,1552921001,16,10.31,9.75,35.69,4.85
221,Sola,20,NO,1552920904,52,58.89,5.65,7.22,12.3
222,Lakheri,0,IN,1552921001,44,25.67,76.19,20.89,1.28
223,San Pedro,0,AR,1552920377,63,-33.68,-59.66,26.67,1.79
224,Vardo,90,US,1552920996,29,39.62,-77.74,6.67,3.1
225,San Vicente,0,SV,1552920928,35,13.64,-88.78,31.0,7.7
226,Emba,40,CY,1552920411,77,34.81,32.42,18.0,3.6
227,Saldanha,0,PT,1552921007,37,41.42,-6.55,13.44,2.8
228,Sao Felix do Xingu,36,BR,1552920760,100,-6.64,-51.99,26.39,1.15
229,Otjimbingwe,32,NA,1552921007,21,-22.35,16.13,33.84,3.98
230,Poum,20,MK,1552919400,41,41.28,20.71,16.0,5.1
231,Broome,20,GB,1552920974,61,52.47,1.45,12.22,4.1
232,Pithiviers,68,FR,1552920993,62,48.17,2.25,11.67,5.1
233,Clyde River,75,CA,1552917600,62,70.47,-68.59,-27.0,9.3
234,Schrems,76,AT,1552920881,59,48.79,15.07,8.33,2.24
235,Talcahuano,0,CL,1552917600,51,-36.72,-73.12,17.0,4.1
236,Qaqortoq,75,GL,1552917000,86,60.72,-46.03,-1.0,1.0
237,Vao,76,EE,1552921012,96,59.1,26.19,2.44,3.7
238,San Quintin,68,PH,1552921012,87,17.54,120.52,22.19,1.3
239,Vila do Maio,0,CV,1552917600,20,15.13,-23.22,31.0,9.3
240,Castellammare del Golfo,20,IT,1552920978,77,38.02,12.89,18.89,5.7
241,Akrata,0,GR,1552920965,55,38.15,22.32,18.33,4.47
242,Swellendam,80,ZA,1552917600,61,-34.02,20.44,27.0,5.1
243,Longyearbyen,90,NO,1552920600,92,78.22,15.63,-4.0,23.1
244,Montrose,0,AU,1552920909,88,-37.81,145.34,20.0,2.15
245,Ronde,0,DK,1552920565,56,56.3,10.48,7.78,6.7
246,Ixtapa,90,MX,1552920914,100,20.71,-105.21,23.89,0.78
247,Pemba,75,MZ,1552917600,83,-12.97,40.52,29.0,5.7
248,Iqaluit,20,CA,1552920762,61,63.75,-68.52,-30.0,7.7
249,Kiama,40,AU,1552920937,100,-34.67,150.86,21.11,3.1
250,Najran,40,SA,1552917600,24,17.54,44.22,27.0,4.1
251,Faya,20,SA,1552917600,52,18.39,42.45,24.0,5.1
252,Corinth,0,GR,1552920665,55,37.94,22.93,21.11,5.7
253,Kaeo,24,NZ,1552919884,92,-35.1,173.78,17.22,2.03
254,Sangar,0,RU,1552921015,45,63.92,127.47,-26.42,0.95
255,Yinchuan,24,CN,1552921015,52,38.48,106.21,1.74,3.15
256,Garden City,20,US,1552921014,32,40.73,-73.63,5.56,3.6
257,San Rafael,24,AR,1552921017,28,-34.61,-68.33,19.84,5.28
258,Camacha,75,PT,1552919400,87,33.08,-16.33,19.0,6.7
259,Megion,0,RU,1552917600,79,61.04,76.11,-6.0,1.0
260,Beloha,92,MG,1552921018,54,-25.17,45.06,28.94,4.3
261,Talnakh,88,RU,1552921018,85,69.49,88.39,-15.17,3.28
262,Qixingtai,0,CN,1552920980,78,30.41,111.89,14.44,3.2
263,Half Moon Bay,90,US,1552920827,93,37.46,-122.43,13.33,0.85
264,Townsville,56,AU,1552920387,94,-19.26,146.82,25.0,5.08
265,Fort Morgan,8,US,1552920708,73,40.25,-103.8,0.0,4.1
266,Selkirk,90,CA,1552920942,73,50.15,-96.88,-2.78,5.7
267,Sioux Lookout,75,CA,1552917600,92,50.1,-91.92,-4.0,2.1
268,Evansville,1,US,1552920999,60,37.97,-87.56,6.67,2.05
269,Werda,40,DE,1552921005,60,50.44,12.3,8.33,5.1
270,Hirara,92,JP,1552921020,100,24.8,125.28,22.89,5.08
271,Opatija,90,HR,1552921013,65,45.33,14.3,8.0,8.7
272,Santa Rosa,0,AR,1552921022,34,-36.62,-64.29,21.99,6.88
273,Council Bluffs,1,US,1552921010,86,41.26,-95.86,1.0,1.5
274,Marsa Matruh,0,EG,1552921023,28,31.35,27.25,22.74,3.83
275,Bichura,88,RU,1552921023,58,50.59,107.6,-4.77,4.08
276,Tiksi,20,RU,1552921023,34,71.64,128.87,-30.77,1.63
277,Yarmouth,40,GB,1552920962,71,50.71,-1.5,11.11,4.6
278,Dicabisagan,64,PH,1552921024,100,17.08,122.42,22.34,1.48
279,Husavik,56,CA,1552920942,81,50.56,-96.99,-2.78,2.24
280,Lianzhou,92,CN,1552921024,95,24.79,112.38,16.49,0.18
281,Satipo,76,PE,1552921024,91,-11.26,-74.64,21.34,0.95
282,Geraldton,90,CA,1552917600,71,49.72,-86.95,-15.0,1.0
283,Mogadishu,40,SO,1552917600,66,2.04,45.34,30.0,6.2
284,Fuxin,0,CN,1552921025,55,42.02,121.65,8.19,3.95
285,Gamba,8,CN,1552921025,48,28.28,88.52,-21.42,1.18
286,Kamenka,76,RU,1552921025,98,53.19,44.05,0.24,1.8
287,Litovko,0,RU,1552921026,66,49.24,135.18,0.19,3.75
288,Norman Wells,40,CA,1552917600,74,65.28,-126.83,-2.0,1.5
289,Simao,20,CN,1552921026,45,22.76,100.79,17.59,1.58
290,Palmer,0,AU,1552920903,49,-34.85,139.16,21.67,2.1
291,Diamantino,8,BR,1552921027,83,-14.4,-56.44,30.24,1.83
292,Bandundu,8,CD,1552921027,85,-3.32,17.38,30.59,1.05
293,Talakan,20,RU,1552921027,67,50.29,130.28,-5.17,1.45
294,Talara,40,PE,1552917600,290,-4.58,-81.27,17.0,7.2
295,Am Timan,0,TD,1552921031,11,11.04,20.28,38.89,4.98
296,Lompoc,1,US,1552920977,81,34.64,-120.46,12.22,0.95
297,Dingle,56,PH,1552921031,83,11.0,122.67,25.49,5.75
298,Taganak,75,PH,1552917600,88,6.08,118.3,27.0,3.6
299,Mahon,75,IE,1552919400,81,51.89,-8.4,10.0,7.2
300,Puerto Leguizamo,64,CO,1552921032,90,-0.19,-74.78,26.29,1.4
301,Lorengau,36,PG,1552921032,95,-2.02,147.27,28.79,5.78
302,Kruisfontein,80,ZA,1552921032,91,-34.0,24.73,21.69,3.75
303,Urdoma,88,RU,1552921032,85,61.74,48.55,2.24,3.18
304,Karratha,0,AU,1552921032,68,-20.74,116.85,26.19,1.4
305,Iskateley,76,RU,1552921033,88,67.68,53.15,-2.82,5.43
306,Concordia,90,AR,1552921013,88,-31.4,-58.02,24.0,4.1
307,Tsaratanana,20,MG,1552921033,84,-16.8,47.65,26.89,1.0
308,Atar,12,MR,1552921033,10,20.52,-13.05,33.19,3.25
309,Vitim,8,RU,1552921034,60,59.44,112.57,-17.52,1.03
310,Fallbrook,1,US,1552920999,71,33.38,-117.25,14.44,2.6
311,Hersbruck,40,DE,1552921025,80,49.51,11.43,9.44,5.1
312,Medea,75,DZ,1552919400,67,36.27,2.77,15.0,10.3
313,Cervo,44,BR,1552921034,93,-22.19,-46.24,25.29,1.75
314,Gorontalo,0,ID,1552921034,89,0.54,123.06,22.99,1.0
315,Bilibino,48,RU,1552921035,55,68.06,166.44,-29.17,1.3
316,Oranjemund,12,ZA,1552921035,94,-28.55,16.43,18.49,7.08
317,Tautira,68,PF,1552920783,88,-17.73,-149.15,26.0,2.1
318,San Ignacio,0,CL,1552917600,62,-36.8,-72.03,15.0,8.2
319,Taoudenni,24,ML,1552921035,13,22.68,-3.98,31.39,2.83
320,Jumla,24,NP,1552921036,94,29.28,82.18,-4.27,0.85
321,Bograd,0,RU,1552919400,67,54.22,90.86,-7.0,2.0
322,Spearfish,1,US,1552920805,68,44.49,-103.86,1.11,1.48
323,Nanaimo,5,CA,1552920765,92,49.17,-123.94,6.67,1.23
324,Goundam,0,ML,1552921036,18,16.42,-3.66,37.24,3.3
325,Kharp,12,RU,1552921037,72,66.82,65.8,-14.32,1.5
326,Tabou,20,CI,1552921037,97,4.42,-7.36,29.34,4.95
327,Alofi,75,NU,1552917600,83,-19.06,-169.92,26.0,3.6
328,Santa Maria da Vitoria,12,BR,1552921037,61,-13.39,-44.19,32.64,1.13
329,Novikovo,0,UA,1552921037,83,45.05,34.56,8.09,2.08
330,Cascais,0,PT,1552920751,40,38.7,-9.42,20.56,4.6
331,Sherlovaya Gora,92,RU,1552921038,34,50.53,116.31,3.29,7.3
332,Shingu,64,JP,1552921038,100,33.72,135.99,12.29,2.73
333,Oranjestad,40,AW,1552917600,74,12.52,-70.03,28.0,11.8
334,Kabinda,56,CD,1552921038,61,-6.14,24.49,31.14,1.95
335,Hokitika,76,NZ,1552921038,98,-42.72,170.96,17.34,1.23
336,Imeni Zhelyabova,32,RU,1552921038,88,58.95,36.6,3.34,6.93
337,Calabozo,0,VE,1552921039,42,8.92,-67.43,32.69,8.3
338,Flinders,40,AU,1552921037,100,-34.58,150.85,21.11,3.1
339,Carlos Chagas,0,BR,1552921039,44,-17.7,-40.76,35.29,1.98
340,Isangel,80,VU,1552921039,100,-19.55,169.27,27.49,6.78
341,Erzin,0,TR,1552920935,52,36.95,36.2,19.0,4.6
342,Rawson,0,AR,1552921040,48,-43.3,-65.11,15.99,9.2
343,Ouadda,24,CF,1552921040,11,8.07,22.4,37.54,4.15
344,Kijang,0,KR,1552917600,66,35.24,129.21,11.0,1.03
345,Yanam,20,IN,1552917600,61,16.73,82.22,28.0,3.6
346,Codrington,40,AU,1552920908,88,-28.95,153.24,21.0,2.1
347,Prince Rupert,1,CA,1552917600,80,54.32,-130.32,5.0,1.0
348,Sinop,20,TR,1552917000,66,42.03,35.15,10.0,5.7
349,Uribia,0,CO,1552921041,52,11.71,-72.27,30.39,9.6
350,Suntar,44,RU,1552921041,75,62.16,117.65,-14.87,1.28
351,Kloulklubed,90,PW,1552917000,88,7.04,134.26,25.0,3.1
352,Tyrma,12,RU,1552921042,61,50.04,132.17,-4.87,2.88
353,Yuzhno-Kurilsk,56,RU,1552921042,89,44.03,145.86,1.34,7.88
354,Lagoa,20,PT,1552921029,59,37.14,-8.45,19.44,3.6
355,Santiago de Cao,75,PE,1552917600,94,-7.96,-79.24,20.0,4.1
356,Daru,8,SL,1552921046,36,7.99,-10.85,37.09,3.33
357,Aykhal,36,RU,1552921046,68,65.95,111.51,-21.27,1.25
358,Pisco,75,PE,1552917600,30,-13.71,-76.2,22.0,3.1
359,Hit,0,IQ,1552921046,23,33.64,42.83,16.24,6.0
360,Plettenberg Bay,56,ZA,1552921046,100,-34.05,23.37,21.64,3.83
361,Plouzane,75,FR,1552921024,81,48.38,-4.62,9.44,4.6
362,San Cristobal,40,EC,1552920308,72,-0.39,-78.55,17.0,2.1
363,Grindavik,75,IS,1552919400,93,63.84,-22.43,7.0,11.3
364,Balabac,0,PH,1552921047,99,7.99,117.06,27.84,5.85
365,Iberia,20,PE,1552921048,76,-11.41,-69.49,28.99,1.3
366,Swan Hill,0,AU,1552921048,84,-35.34,143.56,14.74,1.6
367,Arman,0,RU,1552921048,59,59.7,150.17,-22.02,4.08
368,Kjollefjord,75,NO,1552917000,58,70.95,27.35,-1.0,4.6
369,Dukat,0,RS,1552920908,36,42.44,22.31,20.56,3.58
370,Monastyrshchina,20,RU,1552921048,72,54.35,31.84,10.24,10.23
371,Bar Harbor,1,US,1552920725,45,44.39,-68.2,-0.57,5.1
372,Te Anau,92,NZ,1552921049,88,-45.41,167.72,11.64,0.93
